"Answer ID","Date Updated","Category","Product","Question","Keywords","Summary","Answer"
"111","03/28/2012 09:47 AM","Rücksendungen","Schuhe","Wie sende ich einen Artikel zurück?","Möbel","Wie sende ich einen Artikel zurück?","<p>Gehen Sie wie folgt vor, um einen Artikel zurückzusenden.</p>
<ol>
<li>Rufen Sie die Bestellung mit dem Artikel auf, den Sie zurücksenden möchten.</li>
<li>Wählen Sie den Artikel aus, den Sie zurücksenden möchten.</li>
<li>Wählen Sie die Rücksendemenge aus.</li>
<li>Klicken Sie auf ""Fortsetzen"".</li>
<li>Befolgen Sie die Onlineanweisungen.</li>
</ol>
<p>Nachdem Sie diese Schritte befolgt haben, senden wir Ihnen per E-Mail ein Versandetikett und Anweisungen für die Rücksendung sowie Informationen zu Standorten für die Paketaufgabe zu. Drucken Sie das Versandetikett aus, und bringen Sie es am Paket an.</p>

"
"154","03/28/2012 09:50 AM","Produktinformationen","Schuhe","Größentabellen für Schuhe","Schuhe","Größentabellen für Schuhe","<p style=""FONT-WEIGHT: bold"">Wie ermittle ich meine Schuhgröße?</p>
<p>Wenn Sie Ihre Schuhgröße nicht kennen, verwenden Sie ein Lineal, um einen ungefähren Messwert zu erhalten. Aufgrund der Dreidimensionalität des Fußes kann so allerdings kein präziser Messwert ermittelt werden. Bedenken Sie auch, dass die Hersteller verschiedene Maße zur Anfertigung ihrer Schuhe heranziehen und sich die Größen daher unterscheiden können. Wir empfehlen Ihnen, in einem Schuhgeschäft einige Schuhe anzuprobieren, um eine ungefähre Vorstellung von Ihrer Größe zu erhalten.</p>

"
"111","03/28/2012 09:47 AM","Rücksendungen","Einrichtungsgegenstände/Accessoires","Wie sende ich einen Artikel zurück?","Möbel","Wie sende ich einen Artikel zurück?","<p>Gehen Sie wie folgt vor, um einen Artikel zurückzusenden.</p>
<ol>
<li>Rufen Sie die Bestellung mit dem Artikel auf, den Sie zurücksenden möchten.</li>
<li>Wählen Sie den Artikel aus, den Sie zurücksenden möchten.</li>
<li>Wählen Sie die Rücksendemenge aus.</li>
<li>Klicken Sie auf ""Fortsetzen"".</li>
<li>Befolgen Sie die Onlineanweisungen.</li>
</ol>
<p>Nachdem Sie diese Schritte befolgt haben, senden wir Ihnen per E-Mail ein Versandetikett und Anweisungen für die Rücksendung sowie Informationen zu Standorten für die Paketaufgabe zu. Drucken Sie das Versandetikett aus, und bringen Sie es am Paket an.</p>

"
"111","03/28/2012 09:47 AM","Rücksendungen","Möbel","Wie sende ich einen Artikel zurück?","Möbel","Wie sende ich einen Artikel zurück?","<p>Gehen Sie wie folgt vor, um einen Artikel zurückzusenden.</p>
<ol>
<li>Rufen Sie die Bestellung mit dem Artikel auf, den Sie zurücksenden möchten.</li>
<li>Wählen Sie den Artikel aus, den Sie zurücksenden möchten.</li>
<li>Wählen Sie die Rücksendemenge aus.</li>
<li>Klicken Sie auf ""Fortsetzen"".</li>
<li>Befolgen Sie die Onlineanweisungen.</li>
</ol>
<p>Nachdem Sie diese Schritte befolgt haben, senden wir Ihnen per E-Mail ein Versandetikett und Anweisungen für die Rücksendung sowie Informationen zu Standorten für die Paketaufgabe zu. Drucken Sie das Versandetikett aus, und bringen Sie es am Paket an.</p>

"
"119","03/28/2012 09:51 AM","Ihren Account verwenden","Bekleidung","Wie zeige ich meine Bestellhistorie an?","Schuhe","Ihre Bestellhistorie anzeigen","<p>Sie können Ihre Accounthistorie nur anzeigen, wenn Sie sich auf unserer Site registriert haben. Wenn Sie bereits registriert sind, können Sie Ihre Account- und Bestellinformationen anzeigen und verwalten. Melden Sie sich bei Ihrem ""Account"" an (in der oberen rechten Ecke der Homepage). Auf der Seite zur Accountverwaltung können Sie Profil, Zahlungsinformationen, Adressbuch, Bestellungen, Wunschzettel und Geschenkelisten verwalten.</p>
<p><span style=""FONT-WEIGHT: bold"">Hinweis:</span> Internationale Bestellungen werden möglicherweise erst nach bis zu 5 Tagen in Ihrer Bestellhistorie angezeigt. Für international versandte Bestellungen sind Verfolgungsinformationen erst verfügbar, wenn die Artikel das Zentrallager in den USA verlassen haben. Bis zum Eingang der Artikel am Zentrallager in den USA kann es bis zu 10 Werktage dauern.</p>

"
"134","03/28/2012 09:51 AM","Produktinformationen","Schuhe","Produktverpackung für Schuhe
","Schuhe","Produktverpackung für Schuhe
","Aufgrund von Änderungen an der Verpackung durch den Hersteller kann die Produktverpackung von der gezeigten Abbildung für den ausgewählten Schuh abweichen.
"
"119","03/28/2012 09:51 AM","Ihren Account verwenden","Einrichtungsgegenstände/Accessoires","Wie zeige ich meine Bestellhistorie an?","Schuhe","Ihre Bestellhistorie anzeigen","<p>Sie können Ihre Accounthistorie nur anzeigen, wenn Sie sich auf unserer Site registriert haben. Wenn Sie bereits registriert sind, können Sie Ihre Account- und Bestellinformationen anzeigen und verwalten. Melden Sie sich bei Ihrem ""Account"" an (in der oberen rechten Ecke der Homepage). Auf der Seite zur Accountverwaltung können Sie Profil, Zahlungsinformationen, Adressbuch, Bestellungen, Wunschzettel und Geschenkelisten verwalten.</p>
<p><span style=""FONT-WEIGHT: bold"">Hinweis:</span> Internationale Bestellungen werden möglicherweise erst nach bis zu 5 Tagen in Ihrer Bestellhistorie angezeigt. Für international versandte Bestellungen sind Verfolgungsinformationen erst verfügbar, wenn die Artikel das Zentrallager in den USA verlassen haben. Bis zum Eingang der Artikel am Zentrallager in den USA kann es bis zu 10 Werktage dauern.</p>

"
"119","03/28/2012 09:51 AM","Bestellungen","Bekleidung","Wie zeige ich meine Bestellhistorie an?","Schuhe","Ihre Bestellhistorie anzeigen","<p>Sie können Ihre Accounthistorie nur anzeigen, wenn Sie sich auf unserer Site registriert haben. Wenn Sie bereits registriert sind, können Sie Ihre Account- und Bestellinformationen anzeigen und verwalten. Melden Sie sich bei Ihrem ""Account"" an (in der oberen rechten Ecke der Homepage). Auf der Seite zur Accountverwaltung können Sie Profil, Zahlungsinformationen, Adressbuch, Bestellungen, Wunschzettel und Geschenkelisten verwalten.</p>
<p><span style=""FONT-WEIGHT: bold"">Hinweis:</span> Internationale Bestellungen werden möglicherweise erst nach bis zu 5 Tagen in Ihrer Bestellhistorie angezeigt. Für international versandte Bestellungen sind Verfolgungsinformationen erst verfügbar, wenn die Artikel das Zentrallager in den USA verlassen haben. Bis zum Eingang der Artikel am Zentrallager in den USA kann es bis zu 10 Werktage dauern.</p>

"
"119","03/28/2012 09:51 AM","Bestellungen","Einrichtungsgegenstände/Accessoires","Wie zeige ich meine Bestellhistorie an?","Schuhe","Ihre Bestellhistorie anzeigen","<p>Sie können Ihre Accounthistorie nur anzeigen, wenn Sie sich auf unserer Site registriert haben. Wenn Sie bereits registriert sind, können Sie Ihre Account- und Bestellinformationen anzeigen und verwalten. Melden Sie sich bei Ihrem ""Account"" an (in der oberen rechten Ecke der Homepage). Auf der Seite zur Accountverwaltung können Sie Profil, Zahlungsinformationen, Adressbuch, Bestellungen, Wunschzettel und Geschenkelisten verwalten.</p>
<p><span style=""FONT-WEIGHT: bold"">Hinweis:</span> Internationale Bestellungen werden möglicherweise erst nach bis zu 5 Tagen in Ihrer Bestellhistorie angezeigt. Für international versandte Bestellungen sind Verfolgungsinformationen erst verfügbar, wenn die Artikel das Zentrallager in den USA verlassen haben. Bis zum Eingang der Artikel am Zentrallager in den USA kann es bis zu 10 Werktage dauern.</p>

"
"119","03/28/2012 09:51 AM","Ihren Account verwenden","Möbel","Wie zeige ich meine Bestellhistorie an?","Schuhe","Ihre Bestellhistorie anzeigen","<p>Sie können Ihre Accounthistorie nur anzeigen, wenn Sie sich auf unserer Site registriert haben. Wenn Sie bereits registriert sind, können Sie Ihre Account- und Bestellinformationen anzeigen und verwalten. Melden Sie sich bei Ihrem ""Account"" an (in der oberen rechten Ecke der Homepage). Auf der Seite zur Accountverwaltung können Sie Profil, Zahlungsinformationen, Adressbuch, Bestellungen, Wunschzettel und Geschenkelisten verwalten.</p>
<p><span style=""FONT-WEIGHT: bold"">Hinweis:</span> Internationale Bestellungen werden möglicherweise erst nach bis zu 5 Tagen in Ihrer Bestellhistorie angezeigt. Für international versandte Bestellungen sind Verfolgungsinformationen erst verfügbar, wenn die Artikel das Zentrallager in den USA verlassen haben. Bis zum Eingang der Artikel am Zentrallager in den USA kann es bis zu 10 Werktage dauern.</p>

"
